name,party,state,sons,daughters,total_children,sex_ratio
Shri Pyarelal Khandelwal,Bharatiya Janata Party,Madhya Pradesh,,,,
Dr. Nalinaksha Dutt,Congress,West Bengal,,,,
Shri S.  Jaipal Reddy,Janata Dal,Andhra Pradesh,,,,
Dr. Pradeep Kumar Balmuchu,Indian National Congress,Jharkhand,,2.0,,
Shri Babubhai Maneklal Chinai,Indian National Congress,Bombay,,,,
Shri Jagannath Bhardwaj,Congress,Himachal Pradesh,,,,
Dr. Tazeen Fatma,Samajwadi Party,Uttar Pradesh,2.0,,,
Shri Vijay Pal Singh Tomar,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri Jagdish Joshi,Congress,Madhya Pradesh,,,,
Shri C.K. Govindan Nair,Other,Kerala,,,,
Shri Suresh Chandra Deb,Congress,Assam,,,,
Shri Kapil Sibal,Independent & Others,Uttar Pradesh,2.0,,,
Dr. Anil Jain,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Kripal Parmar,Bharatiya Janata Party,Himachal Pradesh,2.0,1.0,3.0,2.0
Dr. P. C. Alexander,Independent & Others,Maharashtra,2.0,2.0,4.0,1.0
Shri C.P. Narayanan,Communist Party of India (Marxist),Kerala,1.0,1.0,2.0,1.0
Shri Jagdambi Mandal,Janata Dal,Bihar,,,,
Shri Sitaram Kesri,Indian National Congress,Bihar,,,,
Shri Shrikant Mishra,Jansangh,Bihar,,,,
Shri Syed Shahabuddin,Janata,Bihar,,,,
Smt. Indira Gandhi,Indian National Congress,Uttar Pradesh,,,,
Shri Suresh A. Keswani,Independent & Others,Maharashtra,1.0,,,
Shri B. Krishna Mohan,Indian National Congress,Andhra Pradesh,,,,
Shri Tilok Gogoi,CONG(I),Assam,,,,
Shri Devender Goud T.,Telugu Desam Party,Andhra Pradesh,3.0,,,
Shri K. R. Malkani,Bharatiya Janata Party,National Capital Territory of Delhi,,,,
Dr. Ram Dayal Munda,Indian National Congress,Nominated,1.0,,,
Shri S.R. Balasubramoniyan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Shri Mohan Singh,Samajwadi Party,Uttar Pradesh,,2.0,,
Shri Shiv Dayal Singh Chaurasia,CONG(I),Uttar Pradesh,,,,
Shri Shiv Dutt Upadhyaya,Congress,Madhya Pradesh,,,,
Shri N. Chandrasegharan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,2.0,3.0,0.5
Shri Mithlesh Kumar,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri G.V.L. Narasimha Rao,Bharatiya Janata Party,Uttar Pradesh,2.0,,,
Shri Kalpataru Das,Biju Janata Dal,Odisha,3.0,,,
Shri Chimanbhai Haribhai Shukla,Bharatiya Janata Party,Gujarat,,,,
Smt. Krishna Kumari,Indian National Congress,Vindhya Pradesh,,,,
Dr. P.V. Kane,Nominated,Nominated,,,,
Shri P.C. Sethi,CONG(I),Madhya Pradesh,,,,
Shri Shreegopal Vyas,Bharatiya Janata Party,Chhattisgarh,1.0,,,
Smt. Sumitra Balmik,Bharatiya Janata Party,Madhya Pradesh,1.0,2.0,3.0,0.5
Shri Sanda Narayanappa,Other,Andhra Pradesh,,,,
Shri G. Swaminathan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Kanakamedala Ravindra Kumar,Telugu Desam Party,Andhra Pradesh,1.0,,,
Shri C.D. Pande,Congress,Uttar Pradesh,,,,
Shri Naresh Yadav,Rashtriya Janata Dal,Bihar,,,,
Shri Narendra Mohan,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Prof. A. Lakshmisagar,Janata Dal,Karnataka,,,,
Shri Valampuri John,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Ladli Mohan Nigam,Janata,Madhya Pradesh,,,,
Smt. Manorama D. Sharama,Indian National Congress,Uttarakhand,3.0,,,
Shri K.R.N. Rajeshkumar,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Sharad Pawar,Nationalist Congress Party,Maharashtra,,1.0,,
Smt. Rukmini Devi Arundale,Nominated,Nominated,,,,
Dr.(Smt.) Kapila Vatsyayan,Nominated,Nominated,,,,
Shri Shyam Lal Yadav,Indian National Congress,Uttar Pradesh,,,,
Shri P.S. Rajagopal Naidu,Indian National Congress,Madras,,,,
Shri Adhik Shirodkar,Shiv Sena,Maharashtra,1.0,1.0,2.0,1.0
Shri J Venkatappa,Other,Mysore,,,,
Shri Rajeshwar Prasad Narain Sinha,Congress,Bihar,,,,
Dr. Baldev Prakash,Bharatiya Janata Party,Uttar Pradesh,,,,
Shri B.N. Banerjee,Nominated,Nominated,,,,
Shri Joy Bhadra Hagjer,Congress,Assam,,,,
Shri Parag Chaliha,Asom Gana Parishad,Assam,,,,
Shri S.S. Vasan,Congress,Madras,,,,
Shri Vivek K. Tankha,Indian National Congress,Madhya Pradesh,1.0,1.0,2.0,1.0
Shri Purushottam Das Tandon,Congress,Uttar Pradesh,,,,
Shri K. Madhava Menon,Indian National Congress,Madras,,,,
Shri Bal Gangadhar Kher,Indian National Congress,Maharashtra,,,,
Shri Pydah Venkatanarayana,Praja Socialist Party,Madras,,,,
Shri Rama Muni Reddy Sirigireddy,Telugu Desam Party,Andhra Pradesh,1.0,3.0,4.0,0.3333333333333333
Maulana Asad Madni,Indian National Congress,Uttar Pradesh,,,,
Dr. Chandrapal Singh Yadav,Samajwadi Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Ram Kripal Singh,Congress,Uttar Pradesh,,,,
Dr. Vidya Prakash Dutt,Congress,Nominated,,,,
Shri G.A. Appan,Dravida Munnetra Kazhagam,Madras,,,,
Dr. Najma A. Heptulla,Bharatiya Janata Party,Madhya Pradesh,,3.0,,
Shri J. Sivashanmugam Pillai,Congress,Madras,,,,
Shri Swapnananda Panigrahi,Congress,Odisha,,,,
Shri S. K. T. Ramachandran,CONG(I),Tamil Nadu,,,,
Shri Jagbir Singh,Janta Lok Dal,Uttar Pradesh,,,,
Shri Prakash Yashwant Ambedkar,Nominated,Nominated,,,,
Shri D. Raja,Communist Party of India,Tamil Nadu,,1.0,,
Shri Abhimanyu Rath,Gantantra Parishad,Odisha,,,,
Shri Madho Ram Sharma,Congress,Punjab,,,,
Shri B.V. Kakkilaya,Communist Party of India,Madras,,,,
Shri Roshan Lal,Congress,Himachal Pradesh,,,,
Shri Viren J. Shah,Independent & Others,Gujarat,,,,
Shri Aneel Prasad Hegde,Janata Dal (United),Bihar,,,,
Smt. Sharda Bhargava,Congress,Rajasthan,,,,
Shri Santosh Mitra,Communist Party of India (Marxist),West Bengal,,,,
Shri Dipankar Mukherjee,Communist Party of India (Marxist),West Bengal,,,,
Prof. Ram Deo Bhandary,Rashtriya Janata Dal,Bihar,3.0,3.0,6.0,1.0
Lt. Col. Sardar Joginder Singh Mann,Other,Patiala and East Punjab States Union,,,,
Shri Rajeev Chandrasekhar,Bharatiya Janata Party,Karnataka,1.0,1.0,2.0,1.0
Shri Joy Abraham,Kerala Congress (M),Kerala,1.0,1.0,2.0,1.0
His Highness Rai-I-Rayan Maharawal Shrisir Laksman Singhji Bahadur,Independent & Others,Rajasthan,,,,
Shri Vimal Kumar Mannalalji Chordia,Jansangh,Madhya Pradesh,,,,
Shri R. Girirajan,Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Stiphen Marandi,Jharkhand Mukti Morcha,Jharkhand,,1.0,,
Shri Mostafa Bin Qausem,Communist Party of India (Marxist),West Bengal,,,,
Shri Narendra Singh,Indian National Congress,Uttar Pradesh,,,,
Shri Janardan Dwivedi,Indian National Congress,National Capital Territory of Delhi,2.0,1.0,3.0,2.0
Shri Thakur Das,Congress,Uttar Pradesh,,,,
Shri S. Agniraj,Dravida Munnetra Kazhagam,Tamil Nadu,4.0,,,
Shri Gaya Singh,Communist Party of India,Bihar,1.0,1.0,2.0,1.0
Shri Bhupinder Singh,CONG(I),Punjab,,,,
Prof. M. G. K. Menon,Janata Dal,Rajasthan,,,,
Shri Biju Patnaik,Janata Dal,Odisha,,,,
Shri Sankar Prasad Mitra,Independent & Others,West Bengal,,,,
Shri R.K. Kumar,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Dr. Chandramanilal Chowdhary,Congress,Bihar,,,,
Shri Ram Sahai,Congress,Madhya Pradesh,,,,
Shri K.P. Singh Deo,Swatantra Party,Odisha,,,,
Shri Pradeep Tamta,Indian National Congress,Uttarakhand,,2.0,,
Shri Gopaldas  Bulakidasji Mohta,Indian National Congress,Madhya Pradesh,,,,
Shri Javed Akhtar,Nominated,Nominated,1.0,1.0,2.0,1.0
Shri Pankaj Bora,Indian National Congress,Assam,1.0,,,
Shri Manoj Bhattacharya,Revolutionary Socialist Party,West Bengal,,2.0,,
Shri S.M. Krishna,Indian National Congress,Karnataka,,2.0,,
Shri Satyanarayana Dronamraju,CONG(I),Andhra Pradesh,,,,
Shri Rizaq Ram,Congress,Haryana,,,,
Shri Pandurang Dharmaji Jadhav,Nominated,Nominated,,,,
Shri Syed Zafar Islam,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Smt. Viplove Thakur,Indian National Congress,Himachal Pradesh,,2.0,,
Smt. Jamana Devi Barupal,Indian National Congress,Rajasthan,1.0,1.0,2.0,1.0
Shri Pawan Kumar Bansal,Indian National Congress,Punjab,,,,
Shri Dinkarrao Govindrao Patil,CONG(I),Maharashtra,,,,
Prof. M.S. Swaminathan,Nominated,Nominated,,3.0,,
Shri Sarbananda Sonowal,Bharatiya Janata Party,Assam,,,,
Shri S. Muthu Mani,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri C.N. Annadurai,Dravida Munnetra Kazhagam,Madras,,,,
Shri D.P. Tripathi,Nationalist Congress Party,Maharashtra,3.0,,,
Dr. Sankata Prasad,CONG(I),Uttar Pradesh,,,,
Shri Sandeep Kumar Pathak,Aam Aadmi Party,Punjab,,,,
Shri Rudra Narayan Pany,Bharatiya Janata Party,Odisha,,,,
Shri A. Vijayakumar,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Ram Gopal Gupta,Swatantra Party,Uttar Pradesh,,,,
Shri Damodar Rao Divakonda,Bharat Rashtra Samithi,Telangana,1.0,1.0,2.0,1.0
Shri D.K. Jadhav,Other,Madhya Pradesh,,,,
Smt. Fathema Ismail,Nominated,Nominated,,,,
Shri Rabi Ray,Lok Dal,Odisha,,,,
Shri Shaktisinh Gohil,Indian National Congress,Gujarat,,,,
Shri Syed Abdul Malik,Indian National Congress,Assam,,,,
Shri Parimal Nathwani,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1.0,,,
Shri Makhan Paul,Revolutionary Socialist Party,West Bengal,,,,
Shri C. Achutha Menon,Communist Party of India,Kerala,,,,
Shri B.D. Behring,Janata Dal,Manipur,,,,
Dr. Ranbir Singh,Bharatiya Janata Party,Uttar Pradesh,,,,
Shri Dharam Pal Sabharwal,Indian National Congress,Punjab,2.0,2.0,4.0,1.0
Shri M. Srinivasa Reddy,Congress,Andhra Pradesh,,,,
Smt. Chandra Kala Pandey,Communist Party of India (Marxist),West Bengal,2.0,,,
Smt. Pratibha Singh,CONG(I),Bihar,,,,
Shri Ranjan Gogoi,Nominated,Nominated,1.0,1.0,2.0,1.0
Shri G. Prathapa Reddy,CONG(I),Andhra Pradesh,,,,
Smt. Shanta Chhetri,All India Trinamool Congress,West Bengal,2.0,,,
Dr. John Brittas,Communist Party of India (Marxist),Kerala,1.0,1.0,2.0,1.0
Shri P. Anbalagan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Bansi Lal,Congress,Punjab,,,,
Shri Ashoke Kumar Sen,Janata Dal,West Bengal,,,,
Shri Shiva Nand Ramaul,Congress,Himachal Pradesh,,,,
Shri Ganga Sharan Sinha,Other,Bihar,,,,
Shri Kapil Verma,CONG(I),Uttar Pradesh,,,,
Shri Santosh Bagrodia,Indian National Congress,Rajasthan,1.0,2.0,3.0,0.5
Dr. Shanti G. Patel,Janata Dal,Maharashtra,,,,
Smt. Saraswati Pradhan,CONG(I),Odisha,,,,
Shri Bratin Sengupta,Communist Party of India (Marxist),West Bengal,,,,
Shri Mahabir Dass,Congress,Bihar,,,,
Dr. Rudra Pratap Singh,CONG(I),Uttar Pradesh,,,,
Shri Shamsher Singh Dullo,Indian National Congress,Punjab,2.0,2.0,4.0,1.0
Shri K.K. Veerappan,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Ajit Prasad Jain,Congress,Uttar Pradesh,,,,
Shri Niranjan Varma,Jansangh,Madhya Pradesh,,,,
Shri Ram Chandra Prasad Singh,Janata Dal (United),Bihar,,2.0,,
Shri Samiulla Khan,Indian National Congress,Madhya Pradesh,,,,
Shri Sundarmani Patel,Other,Odisha,,,,
Shri Narain Prasad Gupta,Bharatiya Janata Party,Madhya Pradesh,,,,
Shri N. Giri Prasad,Communist Party of India,Andhra Pradesh,,,,
Shri Rajendra Kumar Poddar,Independent & Others,Bihar,,,,
Shri Durga Prasad Jamuda,CONG(I),Bihar,,,,
Shri Shahid Siddiqui,Samajwadi Party,Uttar Pradesh,3.0,1.0,4.0,3.0
Shri Narendra Deva,Other,Uttar Pradesh,,,,
Smt. Lakshmi N. Menon,Indian National Congress,Bombay,,,,
Shri N. Rajangam,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Bhabani Charan Pattanayak,CONG(I),Odisha,,,,
Shri Sikander Ali Wajd,Congress,Maharashtra,,,,
Shri V.M. Obaidullah Sahib,Congress,Madras,,,,
Shri Manas Ranjan Mangaraj,Biju Janata Dal,Odisha,,,,
Shri Banarsi Das Chaturvedi,Congress,Madhya Pradesh,,,,
Khawaja Inaitullah,Indian National Congress,Bihar,,,,
Shri Satish Sharma,Indian National Congress,Uttar Pradesh,1.0,1.0,2.0,1.0
Dr. K. Malaisamy,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,1.0,,
Shri Triloki Singh,Congress,Uttar Pradesh,,,,
Dr. K. L. Narasimha Rao,Congress,Andhra Pradesh,,,,
Shri A. Dharam Dass,Congress,Uttar Pradesh,,,,
Shri R. Dharmar,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Shri A. S. Chowdhri,CONG(I),Andhra Pradesh,,,,
Shri Jogendra Singh,Congress,Uttar Pradesh,,,,
Shri Niren Ghosh,Communist Party of India (Marxist),West Bengal,,,,
Shri Krishan Dutt,Congress,Jammu & Kashmir,,,,
Shri Balkavi Bairagi,Indian National Congress,Madhya Pradesh,2.0,,,
Shri Biswanath Das,Congress,Odisha,,,,
Shri B. Lingaiah Yadav,Bharat Rashtra Samithi,Telangana,1.0,1.0,2.0,1.0
Shri Ramnath Anandilal Poddar,Congress,Rajasthan,,,,
Shri Jamnalal Berwa,CONG(I),Rajasthan,,,,
Shri Amit Anil Chandra Shah,Bharatiya Janata Party,Gujarat,1.0,,,
Shri Joyanta Roy,Forward Block,West Bengal,,,,
Prof. Ram Gopal Yadav,Samajwadi Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Dr. M.N. Das,Indian National Congress,Odisha,1.0,1.0,2.0,1.0
Shri V. Rajeshwar Rao,CONG(I),Andhra Pradesh,,,,
Shri Ghulam Rasool Matto,J&K National Conference,Jammu & Kashmir,,,,
Shri Michael John,Congress,Bihar,,,,
Dr. Anil Kumar Sahani,Janata Dal (United),Bihar,2.0,3.0,5.0,0.6666666666666666
Shri R. Mohanarangam,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Dr. Tara Chand,Nominated,Nominated,,,,
Shri Arvind Kumar Singh,Samajwadi Party,Uttar Pradesh,1.0,,,
Shri Matilal Sarkar,Communist Party of India (Marxist),Tripura,2.0,1.0,3.0,2.0
Shri Mangala Kisan,Biju Janata Dal,Odisha,3.0,1.0,4.0,3.0
Shri Gangaram Mathaji Thaware,Congress,Madhya Pradesh,,,,
Shri Abdul Latif,Indian National Congress,Tripura,,,,
Shri E.K. Imbichibava,Communist Party of India,Madras,,,,
Shri Inder Singh,Congress,Uttar Pradesh,,,,
Shri Lalit Suri,Independent & Others,Uttar Pradesh,1.0,2.0,3.0,0.5
Shri Urkhao Gwra Brahma,Independent & Others,Assam,,,,
Shri Sukomal Sen,Communist Party of India (Marxist),West Bengal,,,,
Dr. A. Ramaswami Mudaliar,Independent & Others,Madras,,,,
Shri Krishan Kant,Indian National Congress,Haryana,,,,
Shri Vishwa Bandhu Gupta,CONG(I),National Capital Territory of Delhi,,,,
Shri Parshottam Rupala,Bharatiya Janata Party,Gujarat,1.0,1.0,2.0,1.0
Shri Dalpat Singh,Congress,Rajasthan,,,,
Shri Akshay Panda,Indian National Congress,Odisha,,,,
Shri Beni Prasad Agarwal,Congress,West Bengal,,,,
Shri Pratul Chandra Mitra,Indian National Congress,Bihar,,,,
Prof. S.P.Singh Baghel,Bahujan Samaj Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Rishang Keishing,Indian National Congress,Manipur,4.0,2.0,6.0,2.0
Dr. Gopal Singh,Nominated,Nominated,,,,
Shri Bhagwati Charan Varma,Nominated,Nominated,,,,
Dr. Bhai Mahavir,Bharatiya Janata Party,National Capital Territory of Delhi,,,,
Shri Bir Bhadra Pratap Singh,CONG(I),Uttar Pradesh,,,,
Dr. Sikander Kumar,Bharatiya Janata Party,Himachal Pradesh,2.0,,,
Smt. Gundu Sudharani,Telugu Desam Party,Telangana,2.0,,,
Shri Rajnath Singh 'Surya',Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri V. C. Ganesan,Nominated,Nominated,,,,
Shri Ahmad Ashfaque Karim,Rashtriya Janata Dal,Bihar,1.0,2.0,3.0,0.5
Shri Tindivanam G Venkatraman,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Aditya Prasad,Bharatiya Janata Party,Jharkhand,1.0,1.0,2.0,1.0
Shri M. Govinda Reddy,Congress,Mysore,,,,
Dr. Kalidas Nag,Nominated,Nominated,,,,
Shri P.K. Maheshwari,Indian National Congress,Madhya Pradesh,3.0,,,
Shri Iqbal Singh,CONG(I),Punjab,,,,
Smt. Noorjehan Razack,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Satish Pradhan,Shiv Sena,Maharashtra,1.0,1.0,2.0,1.0
Shri Arun Jaitley,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Akhilesh Prasad Singh,Indian National Congress,Bihar,1.0,1.0,2.0,1.0
Shri S. Kalyanasundaram,Dravida Munnetra Kazhagam,Tamil Nadu,3.0,2.0,5.0,1.5
Dr. Malcolm Sathianathan Adiseshiah,Nominated,Nominated,,,,
Shri Bhagatram Manhar,Indian National Congress,Chhattisgarh,1.0,1.0,2.0,1.0
Shri Abdul Ghani Dar,PIP,Punjab,,,,
Shri Partap Singh Bajwa,Indian National Congress,Punjab,1.0,,,
Shri Theodore Bodra,Jharkhand Party,Bihar,,,,
Shri Jagannath Prasad Agrawal,Congress,Uttar Pradesh,,,,
Dr. Ram Prakash,Indian National Congress,Haryana,2.0,,,
Smt. C. Ammanna Raja,Congress,Andhra Pradesh,,,,
Shri Samar Mukherjee,Communist Party of India (Marxist),West Bengal,,,,
Shri Maganlal Bhagwanji Joshi,Congress,Bombay,,,,
Shri Kota Punnaiah,Congress,Andhra Pradesh,,,,
Shri N. Rajendran,Independent & Others,Tamil Nadu,1.0,2.0,3.0,0.5
Shri Premji Bhavanji Thacker,Congress,Gujarat,,,,
Shri Dushyant Gautam,Bharatiya Janata Party,Haryana,2.0,1.0,3.0,2.0
Shri R.V. Dangre,Congress,Madhya Pradesh,,,,
Shri M.A. Kadar,Dravida Munnetra Kazhagam,Tamil Nadu,3.0,1.0,4.0,3.0
Shri Vidya Nivas Misra,Nominated,Nominated,,1.0,,
Shri Ratanlal Kishorilal Malviya,Indian National Congress,Madhya Pradesh,,,,
Dr. Kirodi Lal Meena,Bharatiya Janata Party,Rajasthan,,,,
Dr. Gopalrao Vithalrao Patil,Bharatiya Janata Party,Maharashtra,,,,
Shri N. G. Ranga,CONG(I),Madras,,,,
Shri Jagannath Sitaram Akarte,Indian National Congress,Maharashtra,,,,
Ms. Sushila Tiriya,Indian National Congress,Odisha,,,,
Shri Hari Singh Chowdhary,CONG(I),Uttar Pradesh,,,,
Shri M. Ruthnaswamy,Swatantra Party,Madras,,,,
Shri Janardhan Rao Desai,Congress,Mysore,,,,
Shri Ghasiram Sandil,Other,Odisha,,,,
Prof. Satyendra Nath Bose,Nominated,Nominated,,,,
Shri Sedapatti  Suryanarayana Thevar Rajendran,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Dharamchand Jain,CONG(I),Bihar,,,,
Shri Yogendra Sharma,Communist Party of India,Bihar,,,,
Shri K. Santhanam,Congress,Madras,,,,
Shri T.K. Srinivasan,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Narendra Pradhan,Janata Dal,Odisha,,,,
Smt. Sarla Maheshwari,Communist Party of India (Marxist),West Bengal,1.0,1.0,2.0,1.0
Shri N.D.M. Prasadrao,Communist Party of India,Andhra Pradesh,,,,
Dr.(Smt.) Joyasree Goswami Mahanta,Asom Gana Parishad,Assam,2.0,1.0,3.0,2.0
Dr. Muncheshaw Dhunjeebhai Dorabjee Gilder,Congress,Bombay,,,,
Captain Awadesh Pratap Singh,Congress,Madhya Pradesh,,,,
Shri Sanjay Raut,Shiv Sena,Maharashtra,,2.0,,
Shri Subhash  Prasad Yadav,Rashtriya Janata Dal,Bihar,2.0,2.0,4.0,1.0
Shri Chitta Basu,Forward Block,West Bengal,,,,
Shri K. B. Krishna Murthy,Indian National Congress,Karnataka,2.0,,,
Shri Prafulla Chandra Bhanj Deo,Gantantra Parishad,Odisha,,,,
Shri Makkineni Basavapunnaiah,Communist,Madras,,,,
Dr. Akhtar Hasan Rizvi,Independent & Others,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri P. N. Rajabhoj,Congress,Bombay,,,,
Dr. R.K. Poddar,Communist Party of India (Marxist),West Bengal,,,,
Shri Ashoka Mehta,Indian National Congress,Maharashtra,,,,
Smt. Renubala Pradhan,Biju Janata Dal,Odisha,1.0,1.0,2.0,1.0
Shri M.M. Hashim,CONG(I),Andhra Pradesh,,,,
Shri Shyam Benegal,Nominated,Nominated,,1.0,,
Shri Darbara Singh,CONG(I),Punjab,,,,
Shri Munquad Ali,Bahujan Samaj Party,Uttar Pradesh,4.0,2.0,6.0,2.0
Shri W. Angou Singh,CONG(I),Manipur,,2.0,,
Shri Suryabhan Patil Vahadane,Bharatiya Janata Party,Maharashtra,3.0,1.0,4.0,3.0
Shri Shivcharan Singh,Bharatiya Janata Party,Rajasthan,,,,
Shri Balram Das,Congress,Madhya Pradesh,,,,
Shri Gopala Rao Rao,Telugu Desam Party,Andhra Pradesh,,,,
Shri P.M. Sayeed,Indian National Congress,National Capital Territory of Delhi,1.0,7.0,8.0,0.14285714285714285
Dr. Joseph Leon D'souza,Indian National Congress,Maharashtra,,,,
Shri Amolakh Chand,Congress,Uttar Pradesh,,,,
Shri Shankarlal Tiwari,Congress,Madhya Pradesh,,,,
Shri Subrata Bakshi,All India Trinamool Congress,West Bengal,1.0,,,
Dr. M. Thambidurai,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,2.0,,
Dr. K. Nagappa Alva,Indian National Congress,Karnataka,,,,
Maulana Habibur Rahman Nomani,Nominated,Nominated,,,,
Shri Deorao Patil,CONG(I),Maharashtra,,,,
Shri Lalit Narayan Mishra,Indian National Congress,Bihar,,,,
Ms. Abha Maity,Indian National Congress,West Bengal,,,,
Shri Masthan Rao Beeda,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1.0,1.0,2.0,1.0
Shri R.D. Jagtap Avergoankar,CONG(I),Maharashtra,,,,
Shri Faggan Singh Kulaste,Bharatiya Janata Party,Madhya Pradesh,1.0,3.0,4.0,0.3333333333333333
Shri Jerlie E. Tariang,CONG(I),Meghalaya,,,,
Shri A.K.A. Abdul Samad,Muslim League,Tamil Nadu,,,,
Shri Iranna Kadadi,Bharatiya Janata Party,Karnataka,2.0,1.0,3.0,2.0
Shri D.P. Yadav,Independent & Others,Uttar Pradesh,2.0,2.0,4.0,1.0
Shri T.A. Mohammed Saqhy,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri S.W. Dhabe,Congress (S),Maharashtra,,,,
Shri Khandubhai K. Desai,Congress,Bombay,,,,
Smt. Kum Kum Rai,Rashtriya Janata Dal,Bihar,1.0,2.0,3.0,0.5
Shri Balbir Singh,CONG(I),Punjab,,,,
Shri P.N. Kathju,Indian National Congress,Rajasthan,,,,
Smt. Basanti Sarma,CONG(I),Assam,2.0,,,
Shri Swapan Dasgupta,Bharatiya Janata Party,Nominated,1.0,,,
Dr. Radha Kumud Mookerjee,Other,Nominated,,,,
Shri Charanjit Chanana,CONG(I),National Capital Territory of Delhi,,,,
Shri C. Perumal,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Syed Ahmad Hashmi,Congress,Uttar Pradesh,,,,
Shri Pyarimohan Mohapatra,Independent & Others,Odisha,2.0,2.0,4.0,1.0
Shri Vishwasrao Ramrao Patil,Janata Dal,Maharashtra,,,,
Shri Pramod Mahajan,Bharatiya Janata Party,Maharashtra,1.0,1.0,2.0,1.0
Dr. Faguni   Ram,Indian National Congress,Bihar,4.0,3.0,7.0,1.3333333333333333
Shri K.P. Munusamy,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,2.0,1.0,3.0,2.0
Dr. Subramanian Swamy,Bharatiya Janata Party,Nominated,,2.0,,
Shri Anant Ram Jaiswal,Janata Dal (Secular),Uttar Pradesh,,,,
Shri Bir Chandra Deb Burman,Communist Party of India,Tripura,,,,
Shri B. Parameswaran,Other,Madras,,,,
Shri Shyamal Chakraborty,Communist Party of India (Marxist),West Bengal,,1.0,,
Shri Prasanna Acharya,Biju Janata Dal,Odisha,,2.0,,
Shri G.P. Somasundaram,Dravida Munnetra Kazhagam,Madras,,,,
Shri Jaswant Singh,Independent & Others,Rajasthan,,,,
Shri Ram Kumar Kashyap,Bharatiya Janata Party,Haryana,2.0,2.0,4.0,1.0
Smt. Nirmala Sitharaman,Bharatiya Janata Party,Karnataka,,1.0,,
Shri Som Pal,Janata Dal,Uttar Pradesh,,,,
Shri Swapan Sadhan Bose,All India Trinamool Congress,West Bengal,2.0,,,
Shri Shiva Chandra Jha,Janata,Bihar,,,,
Shri Devdas Apte,Bharatiya Janata Party,Jharkhand,,,,
Shri G. N. Ratanpuri,J&K National Conference,Jammu & Kashmir,3.0,,,
Shri K.A. Krishnaswamy,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Villuri Venkataramana,Congress,Andhra Pradesh,,,,
Shri Shivprasad Chanpuria,Bharatiya Janata Party,Madhya Pradesh,,,,
Shri Sharad Anantrao Joshi,Swtantra Bharat Paksh,Maharashtra,,2.0,,
Shri Dharam Pal,CONG(I),Jammu & Kashmir,,,,
Shri Abani Roy,Revolutionary Socialist Party,West Bengal,,,,
Pandit Ravi Shankar,Other,Nominated,,,,
Shri Khyomo Lotha,Indian National Congress,Nagaland,,,,
Shri Mohd. Khalleelur Rahman,Telugu Desam Party,Andhra Pradesh,,,,
Smt. Shanti Pahadia,CONG(I),Rajasthan,,,,
Smt. Krishna Kaul,Indian National Congress,Uttar Pradesh,,,,
Shri K. G. Thimme Gowda,Janata Dal,Karnataka,,,,
